,Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female Total,Male 0-17,Male 18-59,Male 60+,Male Total,Grand Total
125,2017,AFG,Afghanistan,NZL,New Zealand,10.0,4.0,0.0,14.0,5.0,8.0,1.0,14.0,28.0
126,2017,AFG,Afghanistan,FIN,Finland,2.0,1.0,1.0,4.0,3.0,4.0,0.0,7.0,11.0
127,2017,SYR,Syrian Arab Rep.,FIN,Finland,161.0,139.0,1.0,301.0,203.0,156.0,4.0,363.0,664.0
128,2017,IRQ,Iraq,ITA,Italy,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0
129,2017,IRN,Iran (Islamic Rep. of),NOR,Norway,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
130,2017,ERI,Eritrea,NOR,Norway,3.0,1.0,0.0,4.0,3.0,1.0,0.0,4.0,8.0
131,2017,MMR,Myanmar,NOR,Norway,1.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,5.0
132,2017,All others,All others,USA,United States of America,436.0,598.0,21.0,1055.0,447.0,476.0,16.0,939.0,1994.0
133,2017,AFG,Afghanistan,SWE,Sweden,56.0,126.0,7.0,189.0,94.0,23.0,2.0,119.0,308.0
134,2017,AFG,Afghanistan,FRA,France,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0
135,2017,All others,All others,BRA,Brazil,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
136,2017,SOM,Somalia,FIN,Finland,7.0,4.0,0.0,11.0,1.0,2.0,0.0,3.0,14.0
137,2017,SYR,Syrian Arab Rep.,FRA,France,1033.0,898.0,37.0,1968.0,1259.0,948.0,32.0,2239.0,4207.0
138,2017,IRN,Iran (Islamic Rep. of),SWE,Sweden,1.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,5.0
139,2017,ERI,Eritrea,NZL,New Zealand,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
140,2017,AFG,Afghanistan,USA,United States of America,204.0,197.0,11.0,412.0,217.0,199.0,12.0,428.0,840.0
141,2017,AFG,Afghanistan,GBR,United Kingdom of Great Britain and Northern Ireland,28.0,28.0,0.0,56.0,25.0,15.0,0.0,40.0,96.0
142,2017,All others,All others,ESP,Spain,0.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,4.0
143,2017,SYR,Syrian Arab Rep.,LUX,Luxembourg,58.0,46.0,4.0,108.0,50.0,57.0,1.0,108.0,216.0
144,2017,SOM,Somalia,FRA,France,48.0,25.0,0.0,73.0,39.0,13.0,0.0,52.0,125.0
145,2017,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,1585.0,1742.0,81.0,3408.0,1935.0,1638.0,91.0,3664.0,7072.0
146,2017,IRN,Iran (Islamic Rep. of),DEU,Germany,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0
147,2017,IRN,Iran (Islamic Rep. of),USA,United States of America,51.0,184.0,13.0,248.0,72.0,293.0,14.0,379.0,627.0
148,2017,ERI,Eritrea,PRT,Portugal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
149,2017,MMR,Myanmar,CAN,Canada,22.0,22.0,3.0,47.0,25.0,25.0,5.0,55.0,102.0
150,2018,IRQ,Iraq,NZL,New Zealand,2.0,3.0,0.0,5.0,0.0,4.0,0.0,4.0,9.0
151,2018,IRN,Iran (Islamic Rep. of),GBR,United Kingdom of Great Britain and Northern Ireland,4.0,7.0,0.0,11.0,6.0,7.0,0.0,13.0,24.0
152,2018,ERI,Eritrea,ITA,Italy,0.0,3.0,0.0,3.0,1.0,6.0,0.0,7.0,10.0
153,2018,All others,All others,ISL,Iceland,1.0,4.0,0.0,5.0,1.0,14.0,0.0,15.0,20.0
154,2018,SYR,Syrian Arab Rep.,BGR,Bulgaria,24.0,10.0,1.0,35.0,20.0,11.0,0.0,31.0,66.0
155,2018,SOM,Somalia,SWE,Sweden,40.0,54.0,2.0,96.0,43.0,40.0,1.0,84.0,184.0
156,2018,SDN,Sudan,PRT,Portugal,13.0,12.0,0.0,25.0,9.0,11.0,0.0,20.0,45.0
157,2018,MMR,Myanmar,JPN,Japan,9.0,8.0,1.0,18.0,8.0,11.0,0.0,19.0,37.0
158,2018,All others,All others,NOR,Norway,29.0,19.0,1.0,49.0,26.0,18.0,0.0,44.0,93.0
159,2018,COD,Dem. Rep. of the Congo,AUS,Australia,689.0,485.0,20.0,1194.0,709.0,458.0,16.0,1183.0,2377.0
160,2018,SOM,Somalia,USA,United States of America,71.0,53.0,1.0,125.0,80.0,36.0,1.0,117.0,242.0
161,2018,ERI,Eritrea,FIN,Finland,1.0,24.0,0.0,25.0,2.0,30.0,0.0,32.0,57.0
162,2018,SDN,Sudan,CAN,Canada,135.0,142.0,2.0,279.0,140.0,172.0,4.0,316.0,605.0
163,2018,All others,All others,URY,Uruguay,4.0,6.0,0.0,10.0,2.0,6.0,0.0,8.0,18.0
164,2018,COD,Dem. Rep. of the Congo,NLD,Netherlands,51.0,47.0,0.0,98.0,56.0,34.0,2.0,92.0,190.0
165,2018,SYR,Syrian Arab Rep.,ARG,Argentina,3.0,1.0,0.0,4.0,4.0,1.0,0.0,5.0,9.0
166,2018,SYR,Syrian Arab Rep.,ITA,Italy,130.0,101.0,0.0,231.0,144.0,108.0,1.0,253.0,484.0
167,2018,ERI,Eritrea,FRA,France,7.0,57.0,0.0,64.0,7.0,221.0,0.0,228.0,323.0
