Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female (unknown age),Female Total,Male 0-17,Male 18-59,Male 60+,Male (unknown age),Male Total,Other/Unknown,Grand Total
2019,SDN,Sudan,NZL,New Zealand,5,4,0,0,9,10,5,0,0,15,0,24
2019,SDN,Sudan,FIN,Finland,3,7,0,0,10,1,13,0,0,14,0,24
2019,All others,All others,NZL,New Zealand,115,148,8,0,271,138,141,6,0,285,0,556
2019,BTN,Bhutan,USA,United States of America,2,0,0,0,2,3,0,0,0,3,0,5
2019,AFG,Afghanistan,CAN,Canada,45,65,3,0,113,44,39,5,0,88,0,201
2019,SOM,Somalia,LUX,Luxembourg,0,8,0,0,8,1,9,0,0,10,0,18
2019,SYR,Syrian Arab Rep.,IRL,Ireland,199,193,3,0,395,261,189,6,0,456,0,851
2019,ERI,Eritrea,USA,United States of America,342,339,9,0,690,432,287,6,0,725,0,1415
2019,ERI,Eritrea,ESP,Spain,1,5,0,0,6,2,6,0,0,8,0,14
2019,SDN,Sudan,FRA,France,172,157,8,0,337,177,160,5,0,342,0,679
2019,All others,All others,USA,United States of America,945,1008,33,0,1986,982,911,22,0,1915,0,3901
2019,SOM,Somalia,NLD,Netherlands,13,14,0,0,27,9,8,0,0,17,0,44
2019,SOM,Somalia,DEU,Germany,197,166,4,0,367,184,119,4,0,307,0,674
2019,IRQ,Iraq,USA,United States of America,24,3,0,0,27,39,4,0,0,43,0,70
2019,IRN,Iran (Islamic Rep. of),AUS,Australia,6,51,0,0,57,5,64,1,0,70,1,128
2019,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,55,42,1,0,98,67,26,0,0,93,0,191
2019,MMR,Myanmar,NOR,Norway,1,1,0,0,2,0,4,0,0,4,0,6
2019,All others,All others,AUS,Australia,396,458,22,0,876,435,437,14,2,888,1,1765
2019,COD,Dem. Rep. of the Congo,CAN,Canada,425,458,30,0,913,412,363,25,0,800,0,1713
2019,SOM,Somalia,NOR,Norway,7,5,0,0,12,6,4,0,0,10,1,23
2019,MMR,Myanmar,AUS,Australia,62,98,2,0,162,54,54,3,0,111,0,273
2019,IRQ,Iraq,NLD,Netherlands,0,1,0,0,1,1,5,0,0,6,0,7
2019,IRQ,Iraq,DNK,Denmark,0,0,0,0,0,0,1,0,0,1,0,1
2019,IRN,Iran (Islamic Rep. of),CAN,Canada,13,60,3,0,76,7,44,1,0,52,0,128
2019,SDN,Sudan,LUX,Luxembourg,0,0,0,0,0,0,8,0,0,8,0,8
2019,All others,All others,DNK,Denmark,0,1,0,0,1,0,0,0,0,0,0,1
2019,SYR,Syrian Arab Rep.,DEU,Germany,2030,1765,164,0,3959,2294,1604,104,0,4002,0,7961
2019,SOM,Somalia,NZL,New Zealand,13,17,0,0,30,9,1,0,0,10,0,40
2019,IRQ,Iraq,NOR,Norway,0,0,0,0,0,0,4,0,0,4,0,4
2019,IRN,Iran (Islamic Rep. of),ESP,Spain,0,17,1,0,18,1,64,0,0,65,0,83
2019,All others,All others,GBR,United Kingdom of Great Britain and Northern Ireland,63,85,4,0,152,67,79,2,0,148,0,300
2019,AFG,Afghanistan,KOR,Rep. of Korea,0,0,0,0,0,0,1,0,0,1,0,1
2019,SYR,Syrian Arab Rep.,MLT,Malta,7,4,0,0,11,3,3,0,0,6,0,17
2019,IRQ,Iraq,NZL,New Zealand,0,0,0,0,0,3,1,0,0,4,0,4
2019,IRN,Iran (Islamic Rep. of),GBR,United Kingdom of Great Britain and Northern Ireland,1,2,0,0,3,2,0,0,0,2,0,5
2019,ERI,Eritrea,ITA,Italy,1,1,0,0,2,0,1,0,0,1,0,3
2019,MMR,Myanmar,GBR,United Kingdom of Great Britain and Northern Ireland,2,1,0,0,3,1,3,0,0,4,0,7
2019,All others,All others,NOR,Norway,222,156,3,0,381,218,87,1,0,306,0,687
2019,SYR,Syrian Arab Rep.,BGR,Bulgaria,41,39,0,0,80,49,39,0,0,88,0,168
